Name;Kills;Deaths;Kill / Death;Kill / Round;Rounds with kills;Kill - Death difference;Total opening kills;Total opening deaths;Opening kill ratio;Opening kill rating;Team win percent after first kill;First kill in won rounds;0 kill rounds;1 kill rounds;2 kill rounds;3 kill rounds;4 kill rounds;5 kill rounds;Rifle kills;Sniper kills;SMG kills;Pistol kills;Grenade;Other;Role;Team
Woro2k;7156;5755;1.24;0.76;4820;1401;1148;684;1.68;1.16;0.777;0.175;4549;3024;1337;387;63;9;2444;3532;90;1021;70;22;AWP;Monte
woxic;1713;1420;1.21;0.69;1189;293;259;173;1.5;1.07;0.7340000000000001;0.142;1298;793;289;87;19;1;488;938;33;233;21;7;AWP;Eternal Fire
XANTARES;3860;3151;1.23;0.79;2478;709;775;603;1.29;1.26;0.7559999999999999;0.226;2399;1480;670;275;50;3;3174;50;119;454;64;5;Rifler;Eternal Fire
xertioN;2257;2233;1.01;0.7;1547;24;453;467;0.97;1.13;0.7509999999999999;0.198;1690;1001;407;116;21;2;1734;9;155;325;35;6;Entry;MOUZ
YEKINDAR;2692;2704;1.0;0.69;1822;-12;615;598;1.03;1.2;0.7070000000000001;0.221;2106;1164;480;150;22;6;2065;55;177;364;30;7;IGL;Liquid
yuurih;2028;1827;1.11;0.69;1386;201;279;221;1.26;1.02;0.746;0.138;1536;897;369;92;23;5;1626;20;49;312;22;17;Rifler;FURIA
z4kr;2620;2292;1.14;0.71;1770;328;360;296;1.22;1.02;0.736;0.135;1921;1120;478;146;24;2;1501;640;114;351;16;8;Entry;Lynn Vision
Zana;634;487;1.3;0.83;407;147;105;53;1.98;1.24;0.733;0.198;353;230;140;25;11;1;144;362;23;101;6;0;AWP;BIG EQUIPA
zont1x;3937;3577;1.1;0.7;2653;360;615;564;1.09;1.05;0.737;0.14800000000000002;2966;1699;680;225;42;7;3127;33;155;558;66;11;Rifler;Spirit
zorte;4869;3965;1.23;0.71;3386;904;763;468;1.63;1.11;0.7140000000000001;0.152;3507;2234;866;243;41;2;1470;2501;37;794;40;48;AWP;BetBoom
ZywOo;3223;2309;1.4;0.81;2073;914;525;336;1.56;1.18;0.747;0.18100000000000002;1924;1226;597;203;41;6;1389;1139;60;598;30;18;AWP;Vitality
